Ticker,InstOwnerPercent,TotalShareHolders,TotalInstitutionalShares,OwnerNames,SharesHeldIndividual,SharesValueIndividualin1000,TotalSharesinMarketinMillions,TotalValueHoldingsin1000
AAP,104.99%,499,"77,588,540","GLOBAL THEMATIC PARTNERS, LLC","518,535","57,003",74,"$8,529 "
AAP,104.99%,499,"77,588,540","MANUFACTURERS LIFE INSURANCE COMPANY, THE","501,056","55,081",74,"$8,529 "
AAP,104.99%,499,"77,588,540",BANK OF AMERICA CORP /DE/,"494,810","54,394",74,"$8,529 "
AAP,104.99%,499,"77,588,540",MILLENNIUM MANAGEMENT LLC,"456,620","50,196",74,"$8,529 "
AAP,104.99%,499,"77,588,540",TENSILE CAPITAL MANAGEMENT LLC,"438,200","48,171",74,"$8,529 "
AAP,104.99%,499,"77,588,540",DEUTSCHE BANK AG\,"426,579","46,894",74,"$8,529 "
AAP,104.99%,499,"77,588,540","CLEARBRIDGE INVESTMENTS, LLC","414,018","45,513",74,"$8,529 "
AAP,104.99%,499,"77,588,540",DIMENSIONAL FUND ADVISORS LP,"408,141","44,867",74,"$8,529 "
AAP,104.99%,499,"77,588,540",MORGAN STANLEY,"406,665","44,705",74,"$8,529 "
AAPL,60.72%,"2,641","3,081,179,704",VANGUARD GROUP INC,"344,588,690","54,975,680","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704",BLACKROCK INC.,"314,603,530","50,191,847","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704",STATE STREET CORP,"206,447,491","32,936,633","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704",FMR LLC,"145,490,110","23,211,492","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704",BERKSHIRE HATHAWAY INC,"134,092,782","21,393,162","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704",PRICE T ROWE ASSOCIATES INC /MD/,"71,502,706","11,407,542","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704",NORTHERN TRUST CORP,"67,646,433","10,792,312","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704","GEODE CAPITAL MANAGEMENT, LLC","55,090,279","8,789,103","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704",BANK OF NEW YORK MELLON CORP,"52,941,382","8,446,268","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704",JPMORGAN CHASE & CO,"52,761,590","8,417,584","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704",INVESCO LTD.,"48,028,605","7,662,484","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704",BANK OF AMERICA CORP /DE/,"42,101,350","6,716,849","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704",CAPITAL WORLD INVESTORS,"37,855,791","6,039,513","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704",MORGAN STANLEY,"35,611,151","5,681,403","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704",GOLDMAN SACHS GROUP INC,"31,150,824","4,969,802","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704",TIAA CREF INVESTMENT MANAGEMENT LLC,"29,680,505","4,735,228","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704",WELLS FARGO & COMPANY/MN,"29,120,125","4,645,825","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704",WELLINGTON MANAGEMENT GROUP LLP,"28,330,239","4,519,806","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704",CAPITAL RESEARCH GLOBAL INVESTORS,"27,957,527","4,460,344","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704",AMERIPRISE FINANCIAL INC,"26,797,162","4,275,219","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704",LEGAL & GENERAL GROUP PLC,"26,393,202","4,210,771","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704",JENNISON ASSOCIATES LLC,"25,072,154","4,000,011","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704",ALLIANCEBERNSTEIN L.P.,"22,415,271","3,576,132","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704",JANUS HENDERSON GROUP PLC,"21,854,159","3,486,613","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704",SCHWAB CHARLES INVESTMENT MANAGEMENT INC,"19,262,302","3,073,108","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704",SWISS NATIONAL BANK,"19,140,416","3,053,662","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704",FRANKLIN RESOURCES INC,"18,831,072","3,004,309","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704",UBS ASSET MANAGEMENT AMERICAS INC,"17,357,669","2,769,243","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704",DIMENSIONAL FUND ADVISORS LP,"16,440,111","2,622,855","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704",MAGELLAN ASSET MANAGEMENT LTD,"16,080,170","2,565,430","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704",ROYAL BANK OF CANADA,"15,961,708","2,546,531","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704","SUMITOMO MITSUI TRUST HOLDINGS, INC.","15,841,037","2,527,279","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704",DEUTSCHE BANK AG\,"15,809,212","2,522,202","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704","MANUFACTURERS LIFE INSURANCE COMPANY, THE","15,313,052","2,443,044","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704",NEW YORK STATE COMMON RETIREMENT FUND,"15,070,752","2,404,388","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704",UBS GROUP AG,"14,695,882","2,344,581","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704",AMERICAN CENTURY COMPANIES INC,"14,003,511","2,234,120","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704",JANUS CAPITAL MANAGEMENT LLC,"13,977,004","2,229,891","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704","SUSQUEHANNA INTERNATIONAL GROUP, LLP","13,921,789","2,221,082","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704",CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,"12,600,210","2,010,238","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704",ALLIANZ ASSET MANAGEMENT GMBH,"12,125,949","1,934,574","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704",PARAMETRIC PORTFOLIO ASSOCIATES LLC,"12,109,070","1,931,881","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704","FISHER ASSET MANAGEMENT, LLC","11,206,974","1,787,961","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704",PRUDENTIAL FINANCIAL INC,"11,202,261","1,787,209","5,074","$491,571 "
AAPL,60.72%,"2,641","3,081,179,704",HSBC HOLDINGS PLC,"11,102,167","1,771,240","5,074","$491,571 "
ABBV,69.76%,"1,919","1,113,673,709",CAPITAL RESEARCH GLOBAL INVESTORS,"189,015,179","21,475,905","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709",VANGUARD GROUP INC,"117,946,653","13,401,099","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709",BLACKROCK INC.,"98,607,344","11,203,766","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709",STATE STREET CORP,"68,247,894","7,754,326","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709",NORTHERN TRUST CORP,"22,322,866","2,536,324","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709",BANK OF AMERICA CORP /DE/,"19,737,492","2,242,574","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709",BANK OF NEW YORK MELLON CORP,"16,780,911","1,906,647","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709","GEODE CAPITAL MANAGEMENT, LLC","15,345,660","1,743,574","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709",CAPITAL WORLD INVESTORS,"15,201,004","1,727,138","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709",STATE FARM MUTUAL AUTOMOBILE INSURANCE CO,"15,061,000","1,711,231","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709",WELLS FARGO & COMPANY/MN,"13,396,453","1,522,105","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709",ORBIS ALLAN GRAY LTD,"13,203,924","1,500,230","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709",MORGAN STANLEY,"12,051,203","1,369,258","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709",JENNISON ASSOCIATES LLC,"11,353,745","1,290,013","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709",FEDERATED INVESTORS INC /PA/,"10,636,036","1,208,466","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709",TIAA CREF INVESTMENT MANAGEMENT LLC,"9,973,498","1,133,189","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709",GOLDMAN SACHS GROUP INC,"9,820,538","1,115,810","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709",FMR LLC,"8,434,753","958,357","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709",ALLIANZ ASSET MANAGEMENT GMBH,"8,238,271","936,032","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709",LEGAL & GENERAL GROUP PLC,"8,117,840","922,349","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709",UBS GROUP AG,"7,975,357","906,160","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709","EPOCH INVESTMENT PARTNERS, INC.","7,865,090","893,632","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709",CAPITAL INTERNATIONAL INVESTORS,"7,854,929","892,477","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709",AMERICAN INTERNATIONAL GROUP INC,"7,737,912","879,182","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709",AMERIPRISE FINANCIAL INC,"7,249,588","823,698","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709",PRICE T ROWE ASSOCIATES INC /MD/,"6,671,274","757,990","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709",LSV ASSET MANAGEMENT,"6,319,303","717,999","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709",ROYAL BANK OF CANADA,"5,995,728","681,235","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709",UBS ASSET MANAGEMENT AMERICAS INC,"5,927,704","673,506","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709",SWISS NATIONAL BANK,"5,880,029","668,089","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709",SCHWAB CHARLES INVESTMENT MANAGEMENT INC,"5,867,891","666,710","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709",INVESCO LTD.,"5,762,176","654,698","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709",ALLIANCEBERNSTEIN L.P.,"5,467,997","621,274","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709",BANK OF MONTREAL /CAN/,"5,404,334","614,040","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709",PRUDENTIAL FINANCIAL INC,"5,360,531","609,064","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709","GLENVIEW CAPITAL MANAGEMENT, LLC","5,341,332","606,882","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709","PNC FINANCIAL SERVICES GROUP, INC.","4,793,330","544,618","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709","SUMITOMO MITSUI TRUST HOLDINGS, INC.","4,673,056","530,953","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709","ARISTOTLE CAPITAL MANAGEMENT, LLC","4,632,746","526,373","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709",PRUDENTIAL PLC,"4,610,433","523,837","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709",DEUTSCHE BANK AG\,"4,591,873","521,729","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709",RAYMOND JAMES & ASSOCIATES,"4,443,078","504,823","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709",CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,"4,260,762","484,108","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709",FRANKLIN RESOURCES INC,"4,189,920","476,059","1,596","$126,536 "
ABBV,69.76%,"1,919","1,113,673,709",NEW YORK STATE COMMON RETIREMENT FUND,"4,154,776","472,066","1,596","$126,536 "
ABC,67.50%,761,"148,284,816",VANGUARD GROUP INC,"15,663,637","1,475,828",220,"$13,971 "
ABC,67.50%,761,"148,284,816",BLACKROCK INC.,"11,705,386","1,102,881",220,"$13,971 "
ABC,67.50%,761,"148,284,816",STATE STREET CORP,"7,125,976","671,409",220,"$13,971 "
ABC,67.50%,761,"148,284,816","VULCAN VALUE PARTNERS, LLC","5,819,707","548,333",220,"$13,971 "
