Ticker,Price/Earnings,Price/Earnings_ind,Price/Earnings_sp,Price/Earnings_5yavg,Price/Book,Price/Book_ind,Price/Book_sp,Price/Book_5yavg,Price/Sales,Price/Sales_ind,Price/Sales_sp,Price/Sales_5yavg,Price/Cash Flow,Price/Cash Flow_ind,Price/Cash Flow_sp,Price/Cash Flow_3yavg,Dividend Yield %,Dividend Yield %_ind,Dividend Yield %_sp,Dividend Yield %_5yavg,PEG Ratio
AMP,14.4,19.9,24,15,3.6,1.7,3.4,2.6,2,3.6,2.4,1.8,21.7,27.1,15,10.7,2.1,2.7,1.8,2.1,3.6
ABC,20.1,10.1,24,100.2,6.8,3.5,3.4,9.7,0.1,0.2,2.4,0.2,10.1,11.4,15,8,1.7,1.5,1.8,1.4,6.8
AME,30.4,24.1,24,23.1,4.4,3.8,3.4,3.8,4.1,2,2.4,3.3,20.2,19.7,15,17.9,0.5,2.4,1.8,0.6,4.4
AMGN,15.7,75.9,24,18.5,3.9,7.1,3.4,4.1,5.6,6.6,2.4,5.3,11.4,13,15,13,2.7,0.8,1.8,2.1,3.9
APH,27,19.1,24,24.4,6.4,2.6,3.4,5.5,4,1.7,2.4,3.3,25.1,1.4,15,20,0.8,1.4,1.8,0.8,6.4
APC,Ñ,Ñ,24,34.4,2.8,1.8,3.4,2.3,2.7,2.9,2.4,3,8.3,8.3,15,12.7,0.4,1.7,1.8,1,2.8
ADI,40.5,30.2,24,26.8,3.1,4.3,3.4,3.6,5.8,4.5,2.4,5.9,26.4,1.6,15,20.3,2.1,2,1.8,2.5,3.1
ANDV,18.1,23.6,24,14.2,1.7,2.1,3.4,1.9,0.4,0.4,2.4,0.3,9.8,6.9,15,7.1,2.3,3.3,1.8,1.8,1.7
ANSS,47.3,115.5,24,34,5.6,6.9,3.4,3.8,12.3,5.9,2.4,9.2,31.4,17.8,15,24.3,Ñ,0.4,1.8,Ñ,5.6
AON,39.1,24,24,23.4,6.7,4.1,3.4,4.3,3,2.8,2.4,2.4,30.3,21.6,15,16.5,1,1.6,1.8,1.1,6.7
APA,21.4,Ñ,24,92.3,2,1.8,3.4,2.3,2.3,2.9,2.4,2.5,5.6,8.3,15,6.1,2.7,1.7,1.8,1.7,2
AIV,125,23.7,24,105.7,4.6,1.9,3.4,4.8,6.2,7.2,2.4,5.6,16,15.4,15,17.8,3.7,4.4,1.8,3.1,4.6
AAPL,16.1,15.9,24,14.1,5.7,4.6,3.4,4.8,3.4,2.5,2.4,3.1,12.6,0.1,15,10.1,1.6,1.5,1.8,1.8,5.7
AMAT,15.2,23.3,24,54.3,5.4,5.6,3.4,3.7,3.6,4.4,2.4,3,14.4,19.4,15,17,0.8,0.8,1.8,1.6,5.4
APTV,23.2,14.6,24,17.1,7.1,3.2,3.4,7.9,1.8,0.8,2.4,1.3,16.2,10.1,15,11.5,1.2,1.1,1.8,1.4,7.1
ADM,19.5,14.5,24,18.7,1.3,1.8,3.4,1.4,0.4,0.4,2.4,0.4,10.3,3.3,15,10.4,3.1,2,1.8,2.5,1.3
AJG,26,24,24,23.6,2.9,4.1,3.4,2.7,2,2.8,2.4,1.7,16.5,21.6,15,16.1,2.4,1.6,1.8,3,2.9
AIZ,20,26.8,24,15,1.1,1.3,3.4,1,0.8,1.5,2.4,0.6,8.7,13.4,15,25.5,2.4,0.5,1.8,1.8,1.1
T,17.2,17.3,24,21.2,1.8,1.9,3.4,2,1.4,1.4,2.4,1.5,5.7,Ñ,15,6,5.5,3.9,1.8,5.1,1.8
ADSK,Ñ,115.5,24,76.2,217.5,6.9,3.4,16.8,11.8,5.9,2.4,6.3,Ñ,17.8,15,78.8,Ñ,0.4,1.8,Ñ,217.5
ADP,28.8,38,24,26.8,12.6,5.2,3.4,8,3.9,2.3,2.4,3.4,25.4,15.8,15,22.1,2.1,1.1,1.8,2.2,12.6
AZO,16.2,64.1,24,17.8,Ñ,11.1,3.4,Ñ,1.9,2.9,2.4,2,12,8.4,15,14.7,Ñ,0.1,1.8,Ñ,Ñ
AVB,25,23.7,24,62.8,2.1,1.9,3.4,2.3,10.4,7.2,2.4,12.4,18.3,15.4,15,22.8,3.6,4.4,1.8,3.1,2.1
AVY,24.9,24.6,24,22.1,8.6,2.1,3.4,5,1.6,0.9,2.4,1,16.4,0.1,15,13.2,1.6,3.2,1.8,2.2,8.6
BHGE,Ñ,Ñ,24,Ñ,2,2,3.4,Ñ,1.2,1.9,2.4,Ñ,Ñ,18.5,15,Ñ,2,1.9,1.8,Ñ,2
BLL,50.8,17.1,24,31.6,3.8,4.2,3.4,6.7,1.3,1,2.4,1.1,9.9,10.1,15,22.7,1,2.1,1.8,0.8,3.8
BAC,17.3,16.9,24,23.8,1.2,1.2,3.4,0.8,3.8,3,2.4,2.3,36.5,7,15,9.2,1.3,2.9,1.8,0.9,1.2
BK,15.9,19.9,24,17.3,1.5,1.7,3.4,1.2,3.6,3.6,2.4,2.9,7,27.1,15,13.4,1.7,2.7,1.8,1.6,1.5
BAX,34.4,62,24,18.1,3.7,4.5,3.4,4,3.4,4.5,2.4,2.5,17.5,26.5,15,14.6,1,0.6,1.8,2.2,3.7
BBT,19.5,19,24,15,1.5,1.7,3.4,1.3,3.8,4.4,2.4,2.9,8.6,11.9,15,11.8,2.5,1.8,1.8,2.5,1.5
BDX,172.3,62,24,31.2,2.7,4.5,3.4,4.5,4,4.5,2.4,3,19.3,26.5,15,17.3,1.4,0.6,1.8,1.6,2.7
BRK.B,25.9,26.8,24,16.8,1.6,1.3,3.4,1.4,2,1.5,2.4,1.7,10.8,13.4,15,10.8,Ñ,0.5,1.8,Ñ,1.6
BBY,18,64.1,24,13.3,5,11.1,3.4,2.9,0.5,2.9,2.4,0.3,9.5,8.4,15,7.3,1.9,0.1,1.8,2.2,5
BIIB,26.6,75.9,24,26.4,5.3,7.1,3.4,6.6,5.5,6.6,2.4,7.6,14.8,13,15,18.9,Ñ,0.8,1.8,Ñ,5.3
BLK,24.4,19.9,24,18.7,2.8,1.7,3.4,2.1,7.2,3.6,2.4,5.4,23.4,27.1,15,22.7,1.9,2.7,1.8,2.2,2.8
BA,30.7,26.9,24,20.5,181,7.5,3.4,93.9,2.2,1.9,2.4,1.1,15.5,17.4,15,10.8,1.8,1.6,1.8,2.2,181
BWA,25.3,14.6,24,25.1,3,3.2,3.4,3,1.1,0.8,2.4,1.3,9.4,10.1,15,11.1,1.1,1.1,1.8,1,3
BXP,36.4,39.4,24,43.6,3.2,1.9,3.4,3.4,6.9,7,2.4,8,20.1,18.1,15,23,2.6,3.4,1.8,2.2,3.2
BSX,42.5,43.7,24,126.5,4.7,3.8,3.4,3.6,4.1,4.4,2.4,3.1,35.3,25.8,15,34,Ñ,1.1,1.8,Ñ,4.7
BHF,Ñ,20.3,24,Ñ,0.5,1.3,3.4,Ñ,1.5,1,2.4,Ñ,2.2,1,15,Ñ,Ñ,1.8,1.8,Ñ,0.5
BMY,24.6,23.6,24,40.8,6.9,4.3,3.4,6.3,5.1,4,2.4,5.5,19.3,16.5,15,51.3,2.5,3.3,1.8,2.5,6.9
AVGO,58.4,30.2,24,139.7,4.5,4.3,3.4,6,5.6,4.5,2.4,5.7,15.1,1.6,15,20.6,2,2,1.8,1.5,4.5
BF.B,34,25.5,24,26.8,15.3,6.7,3.4,11.5,8.1,5.7,2.4,6.2,37,27.3,15,34,1.1,1.8,1.8,1.3,15.3
CHRW,26.7,25.4,24,20.3,9.2,7,3.4,8.4,0.9,1.2,2.4,0.8,34.1,16.9,15,18.2,2,1.9,1.8,2.3,9.2
CA,33.1,45.5,24,16.2,2.4,6.5,3.4,2.3,3.3,6,2.4,3.1,13.5,16.2,15,12.9,3.1,1.5,1.8,3.2,2.4
COG,Ñ,Ñ,24,95.3,4.1,1.8,3.4,5.2,6.6,2.9,2.4,8,12.9,8.3,15,15.9,0.9,1.7,1.8,0.4,4.1
CDNS,41,115.5,24,30,10.5,6.9,3.4,5.9,5.5,5.9,2.4,3.9,19.5,17.8,15,19.3,Ñ,0.4,1.8,Ñ,10.5
CPB,16,24.3,24,23.2,8.2,2.5,3.4,10.5,1.8,1.7,2.4,1.9,11.1,15.5,15,13.2,3.1,2.4,1.8,2.3,8.2
COF,12.9,25.3,24,10.8,0.9,4.2,3.4,0.9,1.7,4.2,2.4,1.8,3.7,1.5,15,4,1.7,0.8,1.8,1.6,0.9
CAH,11.6,10.1,24,28.1,2.8,3.5,3.4,3.6,0.2,0.2,2.4,0.2,10.7,11.4,15,12,2.8,1.5,1.8,2.1,2.8
KMX,17.2,16.7,24,21.2,3.5,2.9,3.4,3.6,0.7,0.4,2.4,0.9,Ñ,16.9,15,Ñ,Ñ,0.4,1.8,Ñ,3.5
CCL,18.7,26.9,24,22.2,2,3.1,3.4,1.5,2.8,2.9,2.4,2.3,9.1,13.2,15,8.9,2.4,1.3,1.8,2.3,2
CAT,102.9,48.2,24,67.2,5.7,5.1,3.4,3.3,2.1,1.5,2.4,1.2,13,15,15,8.1,2.1,1.7,1.8,2.9,5.7
CBOE,56.7,26.5,24,30.4,4.2,2.7,3.4,16.9,6.1,7.8,2.4,8.2,45.5,23.4,15,28.2,1,1.5,1.8,1.2,4.2
CBG,18.1,42.6,24,22.7,3.7,2.5,3.4,4.4,1,1.5,2.4,1.1,19,11,15,20,Ñ,1,1.8,Ñ,3.7
CBS,14.1,20.3,24,18.9,6.7,38.3,3.4,4.6,1.6,2.5,2.4,2.1,16,17.1,15,18.7,1.4,1.1,1.8,1.1,6.7
CELG,25.4,75.9,24,45.8,10.1,7.1,3.4,13.2,5.8,6.6,2.4,10.1,14.3,13,15,30.2,Ñ,0.8,1.8,Ñ,10.1
CNC,20.7,20.5,24,106.6,2.7,3.3,3.4,3,0.4,0.7,2.4,0.3,6.8,10.8,15,28.2,Ñ,1.2,1.8,Ñ,2.7
CNP,19.2,19.8,24,25,3.2,2.4,3.4,2.5,1.3,1.6,2.4,1.3,7.7,7.3,15,5.9,4,3.3,1.8,4.2,3.2
CTL,27.6,17.3,24,22.5,1.3,1.9,3.4,1.1,0.5,1.4,2.4,1,2.3,Ñ,15,3.1,13.5,3.9,1.8,8.6,1.3
CERN,30.5,58.4,24,40.2,4.5,6,3.4,5.5,4.1,4.1,2.4,5.6,17.2,20.5,15,21.9,Ñ,Ñ,1.8,Ñ,4.5
CF,Ñ,38.5,24,17.8,2.8,3.5,3.4,2.4,2.2,2.9,2.4,2.3,6.1,14.7,15,8.7,3.2,2.1,1.8,2.5,2.8
SCHW,31.9,18,24,30.4,4.4,2.2,3.4,3.5,8.1,2.8,2.4,6.3,19.2,Ñ,15,25.9,0.7,1.5,1.8,0.7,4.4
CHTR,10.3,9.7,24,44.5,2.1,2.7,3.4,118.2,2.5,2.1,2.4,2.1,8.7,7.8,15,9.1,Ñ,0.9,1.8,Ñ,2.1
CHK,Ñ,Ñ,24,23.6,Ñ,1.8,3.4,1.2,0.3,2.9,2.4,0.6,135.5,8.3,15,23.3,Ñ,1.7,1.8,Ñ,Ñ
CVX,33.1,25.1,24,26.4,1.5,1.3,3.4,1.4,1.6,0.8,2.4,1.2,11.8,0.1,15,10.6,3.8,4.2,1.8,3.7,1.5
CMG,41.4,23.1,24,80.5,5.2,29.9,3.4,9,1.6,2.7,2.4,4.1,15.6,18.3,15,27.6,Ñ,1.9,1.8,Ñ,5.2
CB,17.3,22.4,24,13.1,1.3,1.4,3.4,1.3,2.1,1.3,2.4,1.9,14,10.2,15,10.9,2,1.7,1.8,2.1,1.3
CHD,27.9,23.7,24,26.9,6.2,6,3.4,5.3,3.4,2.5,2.4,3.3,21.4,15.8,15,20.3,1.6,2.8,1.8,1.6,6.2
CI,21.2,20.5,24,16.7,3.3,3.3,3.4,2.6,1.2,0.7,2.4,0.9,11.3,10.8,15,12.9,Ñ,1.2,1.8,Ñ,3.3
XEC,27.5,Ñ,24,21.1,4,1.8,3.4,3.2,5.4,2.9,2.4,5.8,10.3,8.3,15,13.3,0.3,1.7,1.8,0.5,4
CINF,23.9,22.4,24,17.4,1.6,1.4,3.4,1.5,2.1,1.3,2.4,2,11.8,10.2,15,10.6,2.8,1.7,1.8,3,1.6
CTAS,33.9,38,24,24.2,6.4,5.2,3.4,4.5,2.8,2.3,2.4,2.1,19.7,15.8,15,20.1,1.1,1.1,1.8,1.1,6.4
CSCO,20.6,34,24,15.3,3,2.4,3.4,2.3,4.2,2,2.4,2.9,14,7.3,15,11.6,2.9,2.2,1.8,3,3
C,14.2,16.9,24,14.3,0.9,1.2,3.4,0.8,2.8,3,2.4,2.1,9.1,7,15,6,1.5,2.9,1.8,0.5,0.9
CFG,17.5,19,24,Ñ,1.1,1.7,3.4,Ñ,3.9,4.4,2.4,Ñ,12.6,11.9,15,11.6,1.7,1.8,1.8,Ñ,1.1
CTXS,24.4,45.5,24,35.8,6.5,6.5,3.4,5,3.9,6,2.4,4,14.7,16.2,15,12.7,Ñ,1.5,1.8,Ñ,6.5
CLX,21.2,23.7,24,23.6,21.9,6,3.4,90.4,2.8,2.5,2.4,2.5,18.4,15.8,15,19.8,2.6,2.8,1.8,2.6,21.9
CME,35.6,26.5,24,26.5,2.6,2.7,3.4,1.5,14.6,7.8,2.4,9.7,29.4,23.4,15,23.2,1.7,1.5,1.8,2.1,2.6
CMS,22.2,19.6,24,19.9,2.7,1.5,3.4,2.6,1.9,1.8,2.4,1.5,7.6,Ñ,15,7.1,3.1,3.5,1.8,3.2,2.7
KO,41.5,29.9,24,26,8.3,7.8,3.4,6.5,5,3.1,2.4,4.2,23.4,1.5,15,19.6,3.4,2.8,1.8,3.1,8.3
CTSH,23.6,20.6,24,23.1,4.1,5.5,3.4,4.2,3.2,1.8,2.4,3.1,21.3,3.2,15,21.3,0.6,2,1.8,Ñ,4.1
CL,26.9,23.7,24,30.5,Ñ,6,3.4,69.4,4.1,2.5,2.4,3.8,19.9,15.8,15,20.4,2.3,2.8,1.8,2.2,Ñ
CMCSA,8.1,9.7,24,19,2.6,2.7,3.4,2.7,2.2,2.1,2.4,2.1,8.6,7.8,15,8.9,1.6,0.9,1.8,1.6,2.6
CMA,20.7,19,24,17.2,2,1.7,3.4,1.2,5.4,4.4,2.4,3.5,17.3,11.9,15,13.9,1.2,1.8,1.8,1.5,2
CAG,21.2,24.3,24,38.8,3.9,2.5,3.4,3.7,1.9,1.7,2.4,1.2,14.3,15.5,15,13.2,2.4,2.4,1.8,2.6,3.9
CXO,35.1,Ñ,24,48.9,2.4,1.8,3.4,2.6,8.8,2.9,2.4,6.8,13.2,8.3,15,14.5,Ñ,1.7,1.8,Ñ,2.4
COP,Ñ,Ñ,24,14.4,2,1.8,3.4,1.6,2.1,2.9,2.4,1.7,10.6,8.3,15,8.6,2.1,1.7,1.8,3.6,2
ED,19.4,19.6,24,17.1,1.6,1.5,3.4,1.5,1.9,1.8,2.4,1.6,7.1,Ñ,15,6.6,3.6,3.5,1.8,3.8,1.6
STZ,22.9,25.5,24,23,5.1,6.7,3.4,4,5.7,5.7,2.4,4.2,24.2,27.3,15,22.2,1,1.8,1.8,Ñ,5.1
COO,30.2,62,24,30.1,3.5,4.5,3.4,3,5.3,4.5,2.4,4.5,18.9,26.5,15,19.1,Ñ,0.6,1.8,Ñ,3.5
GLW,12.5,19.1,24,15.5,1.7,2.6,3.4,1.3,3,1.7,2.4,3.1,11.8,1.4,15,10.7,2.2,1.4,1.8,2.1,1.7
COST,28.7,24.7,24,27.8,7.2,4.2,3.4,5.5,0.6,0.6,2.4,0.5,13.4,10.4,15,15.6,1.1,1.8,1.8,1,7.2
COTY,Ñ,23.7,24,Ñ,1.6,6,3.4,Ñ,1.6,2.5,2.4,Ñ,36.9,15.8,15,16.5,2.5,2.8,1.8,1.6,1.6
CCI,86.6,24.1,24,124.5,3.3,2,3.4,5,9.2,5.7,2.4,7.9,20.2,8.7,15,17.3,3.8,5.3,1.8,Ñ,3.3
CSRA,13.5,20.6,24,Ñ,8.1,5.5,3.4,Ñ,1,1.8,2.4,Ñ,13.9,3.2,15,Ñ,1.3,2,1.8,Ñ,8.1
CSX,8.5,13,24,17.7,3.1,3.6,3.4,2.9,4.1,3.9,2.4,2.8,13.4,10.9,15,10.7,1.5,1.7,1.8,2,3.1
CMI,16.7,24.1,24,16.1,3.6,3.8,3.4,3.3,1.4,2,2.4,1.3,13.2,19.7,15,11.1,2.6,2.4,1.8,2.6,3.6
CVS,14.3,20.5,24,19.9,2,3.3,3.4,2.5,0.4,0.7,2.4,0.7,7.1,10.8,15,11.3,2.9,1.2,1.8,1.7,2
DHI,16.4,18.9,24,14.2,2.1,2,3.4,1.8,1.2,1,2.4,1.2,43.2,16.5,15,34.7,1,0.6,1.8,0.8,2.1
DHR,28.1,44.6,24,22.7,2.6,3.6,3.4,2.5,3.7,3.3,2.4,2.9,20.2,23.4,15,16.6,0.6,0.4,1.8,0.5,2.6
DRI,23.3,23.1,24,31,5.8,29.9,3.4,3.9,1.5,2.7,2.4,1.1,12.7,18.3,15,13,2.6,1.9,1.8,3.3,5.8
DVA,27.3,27.3,24,25.8,2.8,3.8,3.4,3,0.9,0.8,2.4,1.2,6.9,8.2,15,9.3,Ñ,0.4,1.8,Ñ,2.8
DE,23.2,48.2,24,14.2,5.2,5.1,3.4,3.9,1.7,1.5,2.4,1,22.8,15,15,8.8,1.6,1.7,1.8,2.4,5.2
DAL,10.1,13.6,24,12.2,2.6,3.1,3.4,17.4,0.9,1,2.4,0.8,8.4,3.4,15,6,2,0.8,1.8,1,2.6
XRAY,Ñ,62,24,25.9,1.8,4.5,3.4,2.7,3.4,4.5,2.4,2.8,22.2,26.5,15,19.6,0.6,0.6,1.8,0.5,1.8
DVN,11.5,Ñ,24,16.8,2.6,1.8,3.4,2,1.4,2.9,2.4,1.7,6.2,8.3,15,5.5,0.7,1.7,1.8,1.5,2.6
DLR,84.5,39.4,24,57.4,2.3,1.9,3.4,3.5,7.2,7,2.4,6.2,17.3,18.1,15,15.9,3.6,3.4,1.8,4.5,2.3
DFS,12.7,25.3,24,11.3,2.5,4.2,3.4,2.3,2.9,4.2,2.4,3.1,5.8,1.5,15,6.2,1.8,0.8,1.8,1.6,2.5
DISCA,11.8,20.3,24,30,1.5,38.3,3.4,2.7,2,2.5,2.4,5.7,7.7,17.1,15,13.6,Ñ,1.1,1.8,Ñ,1.5
DISCK,11.2,20.3,24,19.5,1.4,38.3,3.4,2,1.9,2.5,2.4,3.6,7.3,17.1,15,13,Ñ,1.1,1.8,Ñ,1.4
DISH,21.3,9.7,24,32.1,3.6,2.7,3.4,50,1.5,2.1,2.4,1.8,7.9,7.8,15,10.8,Ñ,0.9,1.8,Ñ,3.6
DIS,14.6,20.3,24,20.2,3.6,38.3,3.4,3.5,2.9,2.5,2.4,3.1,12.2,17.1,15,15.1,1.6,1.1,1.8,1.3,3.6
DG,21.8,24.7,24,18.9,4.6,4.2,3.4,3.8,1.2,0.6,2.4,1.1,16.6,10.4,15,15.3,1.1,1.8,1.8,Ñ,4.6
DLTR,25.7,24.7,24,28.8,4.2,4.2,3.4,6.3,1.2,0.6,2.4,1.4,15.9,10.4,15,18.9,Ñ,1.8,1.8,Ñ,4.2
D,22,751.7,24,40.8,2.9,1.7,3.4,3.4,3.8,1.5,2.4,3.4,10.7,5.7,15,10.8,4.1,4.2,1.8,3.6,2.9
DOV,22.6,24.1,24,17.9,3.5,3.8,3.4,3,2,2,2.4,1.7,19.4,19.7,15,12.9,1.9,2.4,1.8,2.1,3.5
DWDP,34.4,29.5,24,18.9,1.6,3,3.4,2.7,1.6,2.1,2.4,1.2,14.2,16.1,15,10.5,2.5,2.3,1.8,3.1,1.6
DPS,29.3,29.9,24,19.6,9.9,7.8,3.4,6.3,3.2,3.1,2.4,2.3,22.2,1.5,15,17.3,2,2.8,1.8,2.4,9.9
DTE,18.5,19.6,24,18.7,1.9,1.5,3.4,1.8,1.5,1.8,2.4,1.4,9.7,Ñ,15,8.3,3.3,3.5,1.8,3.3,1.9
DUK,19.6,19.6,24,21.7,1.3,1.5,3.4,1.3,2.3,1.8,2.4,2.2,8.6,Ñ,15,8.3,4.6,3.5,1.8,4.3,1.3
DRE,32.1,21.7,24,161,1.9,2.9,3.4,2.4,10,10,2.4,7.1,20.1,16.5,15,19.6,3,3.9,1.8,3.4,1.9
DXC,164.4,20.6,24,97.8,2.3,5.5,3.4,3.3,1.3,1.8,2.4,0.8,9.2,3.2,15,8.8,0.7,2,1.8,1.4,2.3
ETFC,23.2,18,24,28.4,2.1,2.2,3.4,1.3,6.1,2.8,2.4,4.3,8.9,Ñ,15,10.2,Ñ,1.5,1.8,Ñ,2.1
EMN,13.8,29.5,24,14.8,2.7,3,3.4,3,1.5,2.1,2.4,1.3,9.9,16.1,15,7.6,2.2,2.3,1.8,2.1,2.7
ETN,12.7,24.1,24,17.3,2.1,3.8,3.4,2,1.8,2,2.4,1.5,15.1,19.7,15,13.2,3,2.4,1.8,3.2,2.1
EBAY,Ñ,64.1,24,87,5.2,11.1,3.4,3.6,4.6,2.9,2.4,4,14.1,8.4,15,11.2,Ñ,0.1,1.8,Ñ,5.2
ECL,29,21.5,24,32,5.1,5.4,3.4,4.8,2.8,1.9,2.4,2.5,20,14.6,15,18.1,1.2,1.6,1.8,1.1,5.1
