Ticker,Assessment,Fair Value,FiveStarPrice,OneStarPrice
GILD,Fairly Valued,84,58.8,113.4
GPN,Overvalued,89,62.3,120.15
GM,Undervalued,56,33.6,86.8
GS,Fairly Valued,245,147,379.75
GT,Fairly Valued,32.92,28.04,38.66
GOOGL,Fairly Valued,"1,200.00",720,"1,860.00"
GOOG,Fairly Valued,"1,200.00",720,"1,860.00"
HRB,Fairly Valued,26.49,21.23,33.05
HAL,Overvalued,37,22.2,57.35
HBI,Significantly Undervalued,32,22.4,43.2
HRS,Significantly Overvalued,137.49,127.13,148.7
HIG,Fairly Valued,54.3,49.25,59.86
HAS,Fairly Valued,98,68.6,132.3
HCA,Overvalued,78,39,136.5
HCP,Undervalued,33,23.1,44.55
HP,Overvalued,43,21.5,75.25
HSIC,Overvalued,65,45.5,87.75
HSY,Undervalued,117,81.9,157.95
HES,Overvalued,38,26.6,51.3
HPE,Fairly Valued,16,9.6,24.8
HPQ,Fairly Valued,19,11.4,29.45
HLT,Fairly Valued,76,53.2,102.6
HOLX,Undervalued,45,31.5,60.75
HD,Overvalued,158,110.6,213.3
HON,Fairly Valued,150,105,202.5
HRL,Fairly Valued,36,25.2,48.6
HST,Fairly Valued,19.1,13.37,25.79
HUM,Significantly Overvalued,151,90.6,234.05
HBAN,Fairly Valued,15,10.5,20.25
IBM,Fairly Valued,168,100.8,260.4
IDXX,Overvalued,142,99.4,191.7
ILMN,Overvalued,176,105.6,272.8
INCY,Undervalued,131,78.6,203.05
INTC,Fairly Valued,41,28.7,55.35
ICE,Fairly Valued,62,37.2,96.1
IFF,Fairly Valued,138,110.4,172.5
IPG,Undervalued,25,17.5,33.75
INTU,Overvalued,120,84,162
ISRG,Significantly Overvalued,243,145.8,376.65
IRM,Undervalued,40,28,54
JBHT,Overvalued,95,66.5,128.25
JNJ,Overvalued,123,98.4,153.75
JPM,Overvalued,87,52.2,134.85
JNPR,Fairly Valued,25,15,38.75
KSU,Fairly Valued,108,64.8,167.4
K,Fairly Valued,73,51.1,98.55
KEY,Fairly Valued,21,14.7,28.35
KMB,Fairly Valued,116,81.2,156.6
KSS,Overvalued,49,29.4,75.95
KR,Fairly Valued,28.5,19.95,38.48
LB,Significantly Undervalued,69,48.3,93.15
LRCX,Fairly Valued,175,105,271.25
LEN,Undervalued,72,43.2,111.6
LKQ,Fairly Valued,41,28.7,55.35
LMT,Overvalued,310,217,418.5
LOW,Fairly Valued,93,65.1,125.55
MTB,Overvalued,151,105.7,203.85
M,Fairly Valued,28,16.8,43.4
MRO,Fairly Valued,18,10.8,27.9
MPC,Fairly Valued,75,45,116.25
MAR,Overvalued,103,72.1,139.05
MLM,Undervalued,263,157.8,407.65
MA,Fairly Valued,156,109.2,210.6
MAT,Undervalued,25.5,15.3,39.53
MCD,Undervalued,190,133,256.5
MDT,Undervalued,97,67.9,130.95
MRK,Undervalued,65,52,81.25
MET,Fairly Valued,52,31.2,80.6
MGM,Fairly Valued,38.5,23.1,59.68
KORS,Significantly Overvalued,47.41,36.52,61.56
MCHP,Undervalued,97,67.9,130.95
MU,Overvalued,31,15.5,54.25
MSFT,Undervalued,106,74.2,143.1
MAA,Undervalued,98.01,89.53,107.29
TAP,Undervalued,88,61.6,118.8
MDLZ,Undervalued,51,35.7,68.85
MON,Fairly Valued,128,89.6,172.8
MNST,Overvalued,47,28.2,72.85
MS,Overvalued,43.5,26.1,67.43
MOS,Undervalued,32,16,56
MYL,Fairly Valued,42,21,73.5
NDAQ,Fairly Valued,72,43.2,111.6
NOV,Fairly Valued,36,18,63
NAVI,Fairly Valued,14.67,9.8,21.96
NTAP,Significantly Overvalued,30,15,52.5
NFLX,Significantly Overvalued,90,45,157.5
NWL,Undervalued,35.52,23.36,54.01
NFX,Fairly Valued,26.05,20.17,33.63
NEM,Fairly Valued,33,16.5,57.75
NWSA,Fairly Valued,16,9.6,24.8
NEE,Fairly Valued,150,120,187.5
NLSN,Fairly Valued,36.33,31.37,42.06
NKE,Fairly Valued,66,46.2,89.1
NBL,Fairly Valued,26,15.6,40.3
JWN,Fairly Valued,50,30,77.5
NTRS,Overvalued,82,57.4,110.7
NOC,Overvalued,291,203.7,392.85
NCLH,Fairly Valued,66,39.6,102.3
NRG,Overvalued,18,10.8,27.9
NUE,Overvalued,44,26.4,68.2
NVDA,Significantly Overvalued,100,50,175
ORLY,Fairly Valued,242,169.4,326.7
OXY,Fairly Valued,63,37.8,97.65
ORCL,Fairly Valued,46,32.2,62.1
PCAR,Fairly Valued,67,40.2,103.85
PAYX,Overvalued,52,36.4,70.2
PYPL,Overvalued,56,28,98
PNR,Fairly Valued,70,49,94.5
PBCT,Fairly Valued,18.64,14.88,23.34
PEP,Fairly Valued,118,94.4,147.5
PRGO,Fairly Valued,80,48,124
PFE,Undervalued,43.5,34.8,54.38
PCG,Undervalued,52,36.4,70.2
PM,Fairly Valued,98,78.4,122.5
PSX,Fairly Valued,97,58.2,150.35
PXD,Fairly Valued,174.87,134.6,227.19
PNC,Overvalued,139,97.3,187.65
PPG,Fairly Valued,103,61.8,159.65
PPL,Undervalued,37,29.6,46.25
PCLN,Fairly Valued,"2,100.00","1,260.00","3,255.00"
PFG,Fairly Valued,67.09,57.79,77.88
PG,Undervalued,98,78.4,122.5
PRU,Fairly Valued,118,70.8,182.9
PSA,Undervalued,223,178.4,278.75
PHM,Fairly Valued,31,18.6,48.05
QRVO,Fairly Valued,83,49.8,128.65
QCOM,Fairly Valued,75,45,116.25
DGX,Fairly Valued,105,73.5,141.75
RL,Fairly Valued,94,56.4,145.7
RRC,Fairly Valued,21,5.25,84
RTN,Fairly Valued,192,134.4,259.2
O,Undervalued,56,39.2,75.6
RHT,Fairly Valued,113,67.8,175.15
REGN,Undervalued,395,276.5,533.25
RF,Overvalued,15,10.5,20.25
RSG,Overvalued,54,37.8,72.9
RMD,Fairly Valued,89,62.3,120.15
ROK,Overvalued,150,105,202.5
COL,Fairly Valued,140,112,175
ROST,Overvalued,70,49,94.5
RCL,Fairly Valued,130,78,201.5
CRM,Undervalued,131,91.7,176.85
SBAC,Overvalued,125,87.5,168.75
SCG,Significantly Undervalued,60,42,81
SLB,Fairly Valued,68,40.8,105.4
STX,Fairly Valued,42,21,73.5
SIG,Undervalued,69,34.5,120.75
SPG,Fairly Valued,145,101.5,195.75
SWKS,Fairly Valued,106,63.6,164.3
SNA,Overvalued,128,89.6,172.8
SO,Undervalued,51,40.8,63.75
LUV,Fairly Valued,58,34.8,89.9
SWK,Overvalued,151.05,140.55,162.33
SBUX,Undervalued,68,47.6,91.8
SRCL,Significantly Undervalued,105,73.5,141.75
STI,Overvalued,61,42.7,82.35
SYMC,Fairly Valued,26,13,45.5
SYF,Fairly Valued,39,27.3,52.65
SNPS,Overvalued,78.03,67.13,90.72
SYY,Overvalued,51,35.7,68.85
TROW,Fairly Valued,115,80.5,155.25
TPR,Fairly Valued,45,27,69.75
TGT,Overvalued,63,44.1,85.05
TEL,Overvalued,89,62.3,120.15
FTI,Fairly Valued,29,17.4,44.95
TXN,Fairly Valued,97,67.9,130.95
TMO,Fairly Valued,190,133,256.5
TIF,Overvalued,88,61.6,118.8
TWX,Fairly Valued,95,66.5,128.25
TJX,Undervalued,87,60.9,117.45
TSS,Significantly Overvalued,73.45,67.57,79.84
TSCO,Undervalued,84,58.8,113.4
TDG,Fairly Valued,282,141,493.5
TRV,Fairly Valued,137,95.9,184.95
TRIP,Undervalued,55,33,85.25
FOX,Undervalued,43,30.1,58.05
FOXA,Undervalued,43,30.1,58.05
JCI,Undervalued,53,31.8,82.15
TSN,Fairly Valued,75,45,116.25
USB,Fairly Valued,53,37.1,71.55
ULTA,Fairly Valued,246.8,201.82,301.8
UAA,Undervalued,19.5,11.7,30.23
UA,Undervalued,19.5,11.7,30.23
UNP,Fairly Valued,132,92.4,178.2
UAL,Fairly Valued,80,40,140
URI,Fairly Valued,158.06,128.74,194.04
UTX,Fairly Valued,134,80.4,207.7
UNH,Significantly Overvalued,161,112.7,217.35
UNM,Fairly Valued,53.35,46.36,61.41
UPS,Fairly Valued,117,81.9,157.95
VLO,Fairly Valued,86,51.6,133.3
VAR,Overvalued,105,73.5,141.75
VTR,Undervalued,65,45.5,87.75
VRSK,Significantly Overvalued,81.17,74.79,88.09
VZ,Fairly Valued,52,36.4,70.2
VRTX,Undervalued,175,122.5,236.25
VFC,Overvalued,71,49.7,95.85
VIAB,Fairly Valued,35,21,54.25
V,Fairly Valued,118,82.6,159.3
VMC,Fairly Valued,143,85.8,221.65
GWW,Fairly Valued,245,147,379.75
WMT,Overvalued,88,70.4,110
WBA,Fairly Valued,73,51.1,98.55
WM,Overvalued,63,44.1,85.05
WAT,Overvalued,177,123.9,238.95
WEC,Fairly Valued,61,48.8,76.25
ANTM,Overvalued,182,127.4,245.7
WFC,Undervalued,65,45.5,87.75
HCN,Undervalued,74,51.8,99.9
WDC,Fairly Valued,84,42,147
WU,Fairly Valued,22,11,38.5
WY,Fairly Valued,30,18,46.5
WHR,Fairly Valued,177.4,155.13,202.86
WMB,Fairly Valued,29,20.3,39.15
WYNN,Fairly Valued,166,99.6,257.3
XEL,Overvalued,39,31.2,48.75
XRX,Fairly Valued,32,19.2,49.6
XLNX,Fairly Valued,60,42,81
XL,Fairly Valued,46.33,39.22,54.73
YUM,Fairly Valued,82,57.4,110.7
ZION,Fairly Valued,52,36.4,70.2
ZTS,Overvalued,57,39.9,76.95
IP,Overvalued,47,28.2,72.85
KIM,Undervalued,16.9,11.83,22.82
KMI,Fairly Valued,19,13.3,26.65
KLAC,Undervalued,125,75,193.75
KHC,Fairly Valued,71,49.7,95.85
LLL,Fairly Valued,186,111.6,288.3
LUK,Fairly Valued,25.64,20.53,32.03
LYB,Overvalued,93.17,74.44,116.63
MAC,Fairly Valued,58,34.8,89.9
MAS,Fairly Valued,44,26.4,68.2
MCK,Undervalued,210,147,283.5
MSI,Fairly Valued,112,78.4,151.2
OKE,Undervalued,65,45.5,87.75
PX,Fairly Valued,140,98,189
PLD,Fairly Valued,59,35.4,91.45
PEG,Overvalued,41,28.7,55.35
REG,Undervalued,63.22,57.32,69.73
RHI,Fairly Valued,60,36,93
SHW,Fairly Valued,350,210,542.5
STT,Fairly Valued,107,74.9,144.45
SYK,Fairly Valued,142,99.4,191.7
UDR,Undervalued,36.81,33.35,40.63
AOS,Significantly Overvalued,53.43,48.52,58.83
ACN,Overvalued,125,87.5,168.75
AYI,Fairly Valued,151.46,131.78,174.07
A,Overvalued,51,35.7,68.85
APD,Fairly Valued,160,112,216
AEE,Fairly Valued,53,42.4,66.25
AMT,Fairly Valued,125,87.5,168.75
APH,Fairly Valued,80,56,108
AIV,Undervalued,45,31.5,60.75
AIZ,Fairly Valued,93.97,82.38,107.19
AZO,Fairly Valued,770,539,"1,039.50"
AVB,Undervalued,180,126,243
AVY,Overvalued,76,45.6,117.8
BLK,Undervalued,600,420,810
BXP,Undervalued,143,100.1,193.05
CAH,Undervalued,84,58.8,113.4
CHD,Overvalued,41,28.7,55.35
CI,Significantly Overvalued,123,73.8,190.65
CXO,Fairly Valued,150.06,128.04,175.87
DOV,Fairly Valued,94,65.8,126.9
DPS,Fairly Valued,122,97.6,152.5
DTE,Fairly Valued,94,65.8,126.9
DRE,Fairly Valued,29.8,17.88,46.19
EMN,Overvalued,77,46.2,119.35
EQR,Undervalued,66,46.2,89.1
EXR,Fairly Valued,88,52.8,136.4
FLS,Fairly Valued,44.45,38.27,51.63
FBHS,Fairly Valued,66,39.6,102.3
HOG,Fairly Valued,47,28.2,72.85
HII,Significantly Overvalued,192.65,164.11,226.14
ITW,Fairly Valued,147,102.9,198.45
IR,Fairly Valued,96,57.6,148.8
IVZ,Undervalued,42,29.4,56.7
IQV,Fairly Valued,100,70,135
SJM,Fairly Valued,133,93.1,179.55
JEC,Fairly Valued,56,33.6,86.8
LH,Fairly Valued,184,128.8,248.4
LEG,Fairly Valued,45.02,39.23,51.68
LNC,Fairly Valued,76.04,64.81,89.23
L,Fairly Valued,48.23,42.99,54.12
MMC,Fairly Valued,77,53.9,103.95
MKC,Overvalued,98,78.4,122.5
MTD,Significantly Overvalued,290,203,391.5
MHK,Overvalued,200,120,310
MCO,Significantly Overvalued,133.58,120.32,148.3
NI,Undervalued,25,20,31.25
NSC,Fairly Valued,135,94.5,182.25
OMC,Undervalued,85,59.5,114.75
PKG,Overvalued,78,46.8,120.9
PH,Overvalued,160,112,216
PKI,Overvalued,48,28.8,74.4
PNW,Fairly Valued,78,62.4,97.5
PGR,Overvalued,40,28,54
PVH,Fairly Valued,135,81,209.25
PWR,Fairly Valued,33.15,28.18,39.01
RJF,Fairly Valued,89,53.4,137.95
ROP,Overvalued,215,150.5,290.25
SPGI,Significantly Overvalued,158.94,140.26,180.11
SEE,Fairly Valued,46,27.6,71.3
SRE,Fairly Valued,112,78.4,151.2
SLG,Undervalued,114,79.8,153.9
TXT,Fairly Valued,52,31.2,80.6
TMK,Fairly Valued,82.29,76.86,88.11
UHS,Undervalued,126.89,112.21,143.5
VNO,Undervalued,92,64.4,124.2
WRK,Overvalued,53,31.8,82.15
WYN,Fairly Valued,113,79.1,152.55
XYL,Overvalued,56,39.2,75.6
ZBH,Fairly Valued,130,91,175.5
AME,Overvalued,57,39.9,76.95
BHF,Fairly Valued,62.51,48.39,80.77
CA,Fairly Valued,33,23.1,44.55
CINF,Overvalued,70.93,65.19,77.18
CTAS,Significantly Overvalued,110,77,148.5
EQIX,Undervalued,500,300,775
FISV,Overvalued,123,86.1,166.05
FLIR,Significantly Overvalued,41.98,37.95,46.42
INFO,Fairly Valued,46,32.2,62.1
NWS,Fairly Valued,16,9.6,24.8
PDCO,Fairly Valued,37,25.9,49.95
SNI,Fairly Valued,87,52.2,134.85
VRSN,Overvalued,80,48,124
WLTW,Fairly Valued,149,104.3,201.15
